name,genres,popularity
Mike WiLL Made-It,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",68
Jacquees,"['atl hip hop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'trap']",69
Lil Skies,['melodic rap'],68
Mike Posner,"['dance pop', 'pop', 'pop dance', 'pop rap']",71
Tom MacDonald,"['bc underground hip hop', 'country rap', 'maga rap']",66
$NOT,"['cloud rap', 'florida rap', 'underground hip hop']",68
Cordae,"['hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']",68
6ix9ine,['emo rap'],73
Shaggy,"['dance pop', 'pop rap', 'reggae fusion']",73
Matuê,"['r&b brasileiro', 'rap cearense', 'trap brasileiro']",83
Lloyd,"['hip pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",68
Rob49,['new orleans rap'],67
Waka Flocka Flame,"['atl hip hop', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",67
Wyclef Jean,['rap kreyol'],73
Boosie Badazz,"['baton rouge rap', 'dirty south rap', 'memphis hip hop', 'southern hip hop', 'trap']",65
Yelawolf,['alabama rap'],66
Chris Travis,"['cloud rap', 'dark trap', 'memphis hip hop', 'underground hip hop']",65
Paul Wall,"['chopped and screwed', 'crunk', 'dirty south rap', 'houston rap']",65
Lupe Fiasco,"['chicago rap', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']",68
Tay-K,"['cali rap', 'dfw rap', 'rap', 'trap']",66
Coi Leray,"['new jersey underground rap', 'trap queen']",73
Bladee,"['cloud rap', 'drain', 'glitchcore', 'underground hip hop']",69
Jon Bellion,['indie pop rap'],67
El Makabelico,"['corrido', 'mexican hip hop', 'narco rap']",72
NoCap,"['alabama rap', 'atl trap']",65
Bone Thugs-N-Harmony,"['gangster rap', 'hip hop', 'ohio hip hop', 'rap']",67
Gera MX,"['mexican hip hop', 'rap conciencia']",77
Ja Rule,"['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'queens hip hop', 'rap', 'urban contemporary']",70
Twista,"['chicago rap', 'dirty south rap', 'gangster rap', 'trap']",67
1nonly,['aesthetic rap'],70
Lil Mosey,"['melodic rap', 'rap conscient']",69
24kGoldn,"['cali rap', 'pop rap']",71
Takeoff,"['atl hip hop', 'rap', 'trap']",68
Dax,"['canadian hip hop', 'ottawa rap']",67
A Tribe Called Quest,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap', 'queens hip hop']",68
Rylo Rodriguez,"['alabama rap', 'atl trap', 'tennessee hip hop']",65
Travis Barker,['rap rock'],68
Westside Gunn,"['alternative hip hop', 'boom bap', 'buffalo hip hop', 'drumless hip hop', 'hip hop', 'upstate ny rap']",67
JayDaYoungan,"['florida drill', 'melodic rap', 'southern hip hop']",64
Yo Gotti,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",65
Canserbero,"['boom bap espanol', 'rap conciencia', 'rap politico', 'trap latino', 'urbano latino', 'venezuelan hip hop']",76
André 3000,"['atl hip hop', 'dirty south rap', 'hip hop', 'southern hip hop']",67
Dreamville,"['hip hop', 'pop rap', 'rap']",66
Powfu,"['sad lo-fi', 'sad rap']",69
mike.,"['indie pop rap', 'rhode island rap']",65
Rich The Kid,"['atl hip hop', 'melodic rap', 'plugg', 'rap', 'trap']",69
Jul,"['french hip hop', 'pop urbaine', 'rap marseille']",82
Freddie Gibbs,"['alternative hip hop', 'hip hop', 'indiana hip hop', 'rap', 'underground hip hop']",67
Aminé,"['pop rap', 'portland hip hop', 'rap', 'underground hip hop']",67
NATTI NATASHA,"['latin pop', 'rap latina', 'reggaeton', 'urbano latino']",73
Fabolous,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'trap', 'urban contemporary']",66
Three 6 Mafia,"['crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']",64
GIMS,"['french hip hop', 'pop urbaine', 'r&b francais', 'rap conscient']",80
Wu-Tang Clan,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",68
Lazza,"['italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",81
Night Lovell,"['canadian hip hop', 'canadian trap', 'cloud rap', 'dark trap', 'ottawa rap']",68
311,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion']",63
Tego Calderón,"['latin hip hop', 'rap boricua', 'reggaeton', 'trap latino', 'urbano latino']",72
Yung Joc,"['atl hip hop', 'crunk', 'dirty south rap', 'southern hip hop', 'trap']",65
Jdot Breezy,"['florida drill', 'florida rap']",62
