name,genres,popularity
Remi Wolf,"['indie pop', 'modern alternative pop']",69
Diddy,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']",74
Sum 41,"['alternative metal', 'canadian pop punk', 'canadian punk', 'modern rock', 'pop punk', 'post-grunge', 'punk', 'rock']",74
Rise Against,"['alternative metal', 'chicago hardcore', 'chicago punk', 'hardcore punk', 'modern rock', 'pop punk', 'post-grunge', 'punk']",72
Calum Scott,['pop'],77
Dean Lewis,"['australian pop', 'pop']",76
Ashanti,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']",72
Alok,"['electro house', 'pop nacional', 'slap house']",80
Still Woozy,"['bedroom pop', 'oakland indie', 'pov: indie']",69
TLC,"['atl hip hop', 'contemporary r&b', 'dance pop', 'girl group', 'hip pop', 'r&b', 'urban contemporary']",72
Jamie Foxx,"['contemporary r&b', 'hip pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",71
Norah Jones,"['contemporary vocal jazz', 'jazz pop', 'neo mellow', 'vocal jazz']",74
Jennifer Lopez,"['dance pop', 'pop', 'urban contemporary']",77
Fetty Wap,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",71
All Time Low,"['modern rock', 'neon pop punk', 'pop punk']",71
Madison Beer,['pop'],75
Clean Bandit,"['pop', 'uk dance', 'uk funky']",77
George Ezra,"['folk-pop', 'neo-singer-songwriter']",75
Matchbox Twenty,"['neo mellow', 'pop rock', 'post-grunge']",69
Ovy On The Drums,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",78
Lily-Rose Depp,['pop'],77
Father John Misty,"['art pop', 'chamber pop', 'indie rock', 'singer-songwriter', 'stomp and holler']",71
Shania Twain,"['canadian country', 'canadian pop', 'contemporary country', 'country', 'country dawn']",73
Dove Cameron,['pop'],73
Cults,"['experimental pop', 'indie surf', 'pov: indie']",72
Andy Grammer,"['neo mellow', 'post-teen pop']",71
Martin Garrix,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",76
Juan Luis Guerra 4.40,"['bachata', 'latin pop', 'tropical']",77
Muscadine Bloodline,['modern country pop'],67
Selena,"['mexican pop', 'tejano']",72
The Paper Kites,"['acoustic pop', 'australian indie folk', 'indie anthem-folk', 'indie folk', 'stomp and flutter', 'stomp and holler']",71
Kany García,"['latin pop', 'puerto rican pop']",77
Alessia Cara,"['canadian contemporary r&b', 'canadian pop', 'pop']",73
Bryan Adams,"['canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'soft rock']",77
Josh Meloy,"['classic oklahoma country', 'modern country pop', 'oklahoma country', 'texas country']",67
Juan Gabriel,"['cancion melodica', 'latin pop', 'mariachi', 'musica mexicana', 'ranchera']",77
Dylan Gossett,['modern country pop'],68
Busta Rhymes,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",72
Joyner Lucas,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",69
KATSEYE,['5th gen k-pop'],74
Céline Dion,['canadian pop'],77
The All-American Rejects,"['alternative metal', 'modern rock', 'neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge']",68
AURORA,"['art pop', 'norwegian pop']",75
Major Lazer,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",77
Strawberry Guy,['bedroom pop'],70
Danny Ocean,"['pop venezolano', 'reggaeton', 'trap latino', 'urbano latino']",78
Sachin-Jigar,"['filmi', 'gujarati pop', 'modern bollywood']",83
Henrik,['singer-songwriter pop'],70
TINI,"['latin pop', 'latin viral pop', 'pop argentino']",79
Asake,"['afrobeats', 'nigerian pop']",78
benny blanco,['pop'],73
AFROJACK,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",75
Internet Money,"['pop rap', 'trap']",70
Nipsey Hussle,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",68
Cuco,"['bedroom pop', 'dream pop']",70
Aaliyah,"['contemporary r&b', 'dance pop', 'hip pop', 'r&b', 'urban contemporary']",69
(G)I-DLE,['k-pop girl group'],76
Destiny's Child,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']",73
